,index,filepath,status,process_path,taibiao_1,taibiao_2,taibiao_3,taibiao_4,taibiao_5,taibiao_6,taibiao_7,taibiao_8,taibiao_9,taibiao_10,taibiao_11,taibiao_12,taibiao_13,taibiao_14,taibiao_15,taibiao_16,ttv,voa,xtr,zhuangjia,daoju,qiangzhi,smoke
0,0,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,3,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,4,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,6,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,8,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,11,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,12,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,13,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,15,/Users/chenjialin/Downloads/smoke.mp4,1,./result/smoke_1638263955553461.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,16,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,/Users/chenjialin/Downloads/smoke.mp4,0,./result/smoke_1638263955553461.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
